C1,C2,C3,C4,Score
#850E35,#EE6983,#FFC4C4,#FCF5EE,6308
#444444,#FF8B00,#FFC60B,#FEFFDB,6306
#468585,#50B498,#9CDBA6,#DEF9C4,6295
#402B3A,#D63484,#FF9BD2,#F8F4EC,6271
#0245A3,#8FBAF3,#BDF1F6,#F2FCFC,6251
#54473F,#9A7E6F,#CBD2A4,#E9EED9,6245
#FDF1D6,#C39E5C,#DA723C,#91091E,6241
#FE7BE5,#974EC3,#504099,#313866,6226
#000000,#CF7500,#F0A500,#F4F4F4,6194
#FFE8D5,#FDB87D,#FF8364,#FF4D4D,6185
#132238,#364E68,#98CCD3,#EBF0F6,6183
#E0DECA,#FCF9C6,#C7D36F,#9EB23B,6180
#649DAD,#66C6BA,#A4E5D9,#C8F4DE,6160
#160040,#4C0070,#79018C,#9A0680,6143
#A09F57,#C56824,#CFB784,#EADEB8,6137
#835151,#F08FC0,#FFBCBC,#FFEACA,6131
#B8E4F0,#98BAE7,#7267CB,#6E3CBC,6130
#5C33F6,#A239EA,#FF94CC,#F0D9E7,6103
#CACACA,#FCFAF1,#E6B31E,#343434,6090
#F0F3FF,#15F5BA,#836FFF,#211951,6084
#FFFECE,#FFD0C7,#E69DB8,#F1E7E7,6079
#113F67,#38598B,#A2A8D3,#E7EAF6,6069
#FFBA86,#F6635C,#C23373,#79155B,6067
#141010,#680747,#C3195D,#F70776,6063
#A3F7BF,#29A19C,#435055,#27323A,6049
#F2F1E7,#A96851,#915B4A,#5C4D4D,6045
#F0BB78,#F5ECD5,#A4B465,#626F47,6044
#F4CCE9,#D17D98,#7D1C4A,#56021F,6036
#34495E,#5DA0A2,#AACFD0,#F4F7F7,6030
#000000,#CF7500,#F0A500,#DBDBDB,6029
#E1EEBC,#90C67C,#67AE6E,#328E6E,6029
#F39E60,#E16A54,#9F5255,#7C444F,6022
#FFCDDD,#EA99D5,#B762C1,#8946A6,6015
#EFB6C8,#A888B5,#8174A0,#441752,6013
#62CDFF,#97DEFF,#C9EEFF,#AA77FF,5993
#FFF2E5,#FFD5AB,#EB9788,#B7472A,5987
#597E52,#C6A969,#F1E4C3,#FFFFEC,5966
#423144,#900D0D,#CF1B1B,#FFDBC5,5961
#617143,#DF7857,#E7AB9A,#EDE9D5,5947
#4535C1,#478CCF,#36C2CE,#77E4C8,5945
#5C8D89,#74B49B,#A7D7C5,#D3F6D1,5937
#DFF5FF,#67C6E3,#378CE7,#5356FF,5934
#EEDF7A,#D8A25E,#A04747,#343131,5926
#EFEFEF,#FFC069,#A45D5D,#4A403A,5912
#FF97C1,#FF5858,#E0144C,#9A1663,5870
#790C5A,#CC0E74,#E6739F,#FFB2A7,5867
#FF7C38,#E03E36,#B80D57,#700961,5858
#EAEFEF,#B8CFCE,#7F8CAA,#333446,5855
#69DADB,#1597E5,#113CFC,#193498,5823
#F1BC31,#E25822,#B22222,#7C0A02,5796
#C36A2D,#E2C275,#EADCA6,#F4F4F4,5787
#BB596B,#F96D80,#FF9A76,#FFC4A3,5780
#AFD198,#E8EFCF,#ECCA9C,#DBA979,5780
#3DC2EC,#4B70F5,#4C3BCF,#402E7A,5776
#AC0D0D,#F48B29,#F0C929,#FBE6C2,5774
#DFF6FF,#5D8BF4,#2D31FA,#051367,5733
#89986D,#9CAB84,#C5D89D,#F6F0D7,5731
#626F47,#F2EED7,#FEFAE0,#798645,5729
