C1,C2,C3,C4,Score
#904CA7,#F37EF9,#B5FFC7,#2BE5A6,3058
#DBFFCB,#BEE4D0,#FF6363,#FF8282,3058
#F1F2EB,#B9E3C6,#1C7293,#272932,3045
#F0E3E3,#748B9C,#2F576E,#433751,3018
#04322E,#C93D1B,#F8C43A,#35D0BA,3013
#F1D18A,#4C6F7B,#255965,#032A33,3007
#563A9C,#6A42C2,#8B5DFF,#FFF7D1,2981
#E4E5DB,#D6CFB9,#2F5241,#152A38,2959
#304163,#28385E,#516C8D,#DDDDDD,2944
#705772,#F38181,#FAD284,#A9EEC2,2942
#2F0F5D,#0EA293,#27E1C1,#F5F3C1,2942
#45969B,#512C62,#C70D3A,#F45905,2939
#FFD933,#F62A66,#374955,#203541,2905
#F3AE4B,#DE4383,#774898,#00A8B5,2904
#D25565,#F0B775,#FFFDC1,#2E94B9,2857
#EDF4F2,#F5A31A,#D32626,#79D70F,2850
#FEF2BF,#429FFD,#0960BD,#011F3F,2844
#DBF094,#6CE6DD,#6ACAFC,#8E9FE6,2831
#FAF15D,#0AA0F6,#0E7CF4,#0962EA,2828
#F3E8FF,#BACDDB,#CE5959,#89375F,2824
#FD7E89,#FFF798,#F4E3B7,#89AA97,2795
#FFEBD3,#40A798,#226B80,#FFEAA5,2793
#02383C,#230338,#ED5107,#C70D3A,2788
#E79C2A,#5A3D55,#3CA59D,#A2DE96,2786
#F4E5C2,#6DB193,#8559A5,#323232,2784
#F0B917,#155263,#76B39D,#F9F8EB,2771
#0C2233,#083D56,#0E5F76,#FCE38A,2767
#FCFFC1,#FF917B,#F469A9,#65EAD1,2763
#F6FF99,#A7E399,#48B3AF,#476EAE,2739
#E8E2E2,#FDFCFC,#F35B25,#2A3356,2731
#F2F2F0,#A6ED8E,#456173,#1B3C59,2717
#5C2FC2,#5C88C4,#6FDCE3,#FFFDB5,2712
#FCEA90,#56A7A7,#A0DBDB,#F9FBFC,2709
#FDC57B,#007880,#62374E,#33313B,2708
#E36488,#79B8D1,#AEF4A4,#FFFDB7,2701
#F2EFB6,#A0EDF7,#0EA5C6,#074684,2693
#F1F3B8,#96EAB7,#53CDD8,#7B99FA,2687
#FFA400,#D98C00,#0F00FF,#09009B,2679
#FAAC64,#E6EFBF,#A3DEC9,#4AC3BE,2665
#005E7C,#1CA2BB,#58DADA,#FFDD93,2663
#FACD49,#F18FAC,#F85E9F,#5D50C6,2659
#D22780,#5E227F,#41A7B3,#1FE5BD,2652
#3081D0,#6DB9EF,#F4F27E,#FFF5C2,2646
#F6F6F6,#A2D5C6,#CFFFE2,#000000,2646
#ED3500,#FFD8D8,#FFFCFB,#093FB4,2643
#373331,#FFF3E1,#29CDB5,#9BF4D5,2642
#FFDE25,#E8F1F5,#1989AC,#283E56,2640
#FFD581,#BF81FF,#837DFF,#6927FF,2634
#A58BFF,#F6F6F6,#FFF46E,#FF6F6F,2630
#323643,#606470,#FF570C,#F7F7F7,2626
#424141,#21825C,#A4D792,#F7FDB6,2623
#2E89BA,#A5BFDD,#F9F6D8,#F60C86,2599
#581B98,#9C1DE7,#F3558E,#FAEE1C,2586
#77628C,#71A0A5,#ACC6AA,#FAF8D7,2586
#9DE6E8,#73B9D7,#FFD79A,#FFFAC0,2579
#EEEEEE,#DDAED3,#6594B1,#213C51,2565
#A1F480,#3DBDC2,#0C9CEE,#591FCE,2559
#E0E7B8,#BCD3C2,#B36458,#353E55,2559
#665C84,#FF7657,#FFBA5A,#FCF9ED,2552
#FCFA70,#6A99CB,#4D7CAE,#375A7F,2542
#292830,#543D46,#5DA7AE,#FFEBBC,2525
#F17E7E,#EFCA8C,#DFE38E,#7FE7CC,2520
#44ACFF,#89D4FF,#F9F6C4,#FE9EC7,2518
#B7E1B5,#DE774E,#684656,#1C1124,2512
#FF6361,#BC5090,#58508D,#003F5C,2509
#FF98DA,#D6EC78,#EFFFB7,#27E1CE,2505
#F7FAD1,#5FE1D9,#0C81F6,#425E92,2504
#63C8FF,#4DFFBE,#FDFFB8,#FF2DD1,2502
#571179,#08C299,#97DE95,#FCE8AA,2495
#28C7FA,#775ADA,#002651,#FF304F,2486
#FFEFA1,#E67FA2,#6B55AE,#6EA7C1,2436
#ABE0F0,#FFEE91,#F5C857,#E2852E,2433
#FF6D02,#080957,#7577CD,#DBDBEB,2411
#7871BF,#82A6EE,#64FED6,#ECFFC9,2394
#185519,#E8B86D,#FCDE70,#F5F7F8,2392
#F6FFDC,#DAF9DE,#CFECF3,#F9B2D7,2388
#7899DC,#0FEFBD,#FEFF92,#CFF800,2383
#D9E2A8,#AA96B7,#5E3B4D,#4B2B30,2358
#C5ECBE,#FDFFDC,#F781BC,#F857B5,2344
#3379E4,#2796CB,#35C2BD,#F6EFB4,2327
